handle,tweet,if_tsunami,datetime,day,month,year,time
BNPB_Indonesia,Konferensi pers https://www.facebook.com/HumasBNPB/videos/528316077689234/ …,False,2018-12-25 23:06:00,25,Dec,2018,11:06 PM
BPBD_KabJepara,"Proses evakuasi Tanah Longsor dan Pohon Tumbang di Dukuh Pentongan Rt 02/Rw 06, Desa Kedung Leper, Kecamatan Bangsri.  @ganjarpranowo @sarwapramana @BNPB_Indonesia @bpbdjateng @jeparakabgoidpic.twitter.com/kKj2mnFR8D",False,2018-12-25 04:34:00,25,Dec,2018,4:34 AM
Sutopo_PN,"Tim gabungan dari TNI (Yon Mandala Yudha Kostrad), Polri, Basarnas, BPBD, Pemda, Tagana, dan relawan terus melakukan penanganan darurat di di Kec. Sumur Pandeglang. Belum semua  desa dapat dijangkau dan tertangani baik karena akses jalan rusak. Bantuan terus didatangkan.pic.twitter.com/cgWLUwgL49",False,2018-12-24 16:43:00,24,Dec,2018,4:43 PM
Sutopo_PN,35 orang warga Pulau Sebesi dan Pulau Sebuku Kabupaten Lampung Selatan mengungsi dengan KM Karya Muda tiba di Canti Ds.Way Muli Kec. Rajabasa pada 25/12/2018 pukul 09.30 WIB. Selanjutnya pengungsi ditampung dan diberikan bantuan.pic.twitter.com/RTjVIj2Rf2,False,2018-12-24 19:00:00,24,Dec,2018,7:00 PM
BNPB_Indonesia,KonPers Update Penanganan Bencana Tsunami Selat Sunda: http://youtu.be/O8RpbUKv8mU?a  via @YouTube,True,2018-12-24 22:53:00,24,Dec,2018,10:53 PM
BNPB_Indonesia,"Update foto udara dampak tsunami Selat Sunda per 24/12/2018 pukul 17.00 WIB. Dampak bencana tsunami ini melanda daerah pesisir di pantai barat Provinsi Banten yaitu Kabupaten Pandeglang dan Kabupaten Serang, dan... https://www.facebook.com/265134686905181/posts/2040077059410926/ …",True,2018-12-24 13:51:00,24,Dec,2018,1:51 PM
BNPB_Indonesia,"Tim SAR Gabungan Terus Menemukan Korban Tsunami Selat Sunda : 373 Meninggal Dunia, 1.459 Luka-Luka dan 128 Hilang   Tim SAR gabungan terus melakukan penyisiran, evakuasi, pencarian dan penyelamatan korban... https://www.facebook.com/265134686905181/posts/2039471429471489/ …",True,2018-12-24 05:19:00,24,Dec,2018,5:19 AM
Sutopo_PN,Erupsi Gunung Anak Krakatau yang terpantau dari pesawat Grand Caravan Susi Air pada 23/12/2018. Hampir setiap hari Gunung Anak Krakatau erupsi sejak Juni 2018. Erupsinya tidak besar. Status Waspada (level 2). Zona berbahaya di dalam radius 2 km. Jalur pelayaran di aman.pic.twitter.com/w5zkXPqdyh,False,2018-12-23 19:37:00,23,Dec,2018,7:37 PM
Pusdalops_diy,Siaran pers @Sutopo_PN @BNPB_Indonesia terkait fenomena tsunami di Selat Sunda di ruang rapat BPBD DIYpic.twitter.com/0vSuw83xck,True,2018-12-22 22:47:00,22,Dec,2018,10:47 PM
BNPB_Indonesia,"BPBD Pesawaran Lampung, memberikan bantuan di Desa legundi, Pulau legundi, Kecamatan punduh pedada, Kabupaten pesawaran, Provinsi lampung. #SiapUntukSelamat #BudayaSadarBencana #TsunamiSelatSunda",True,2018-12-23 20:22:00,23,Dec,2018,8:22 PM
BNPB_Indonesia,"Presiden Kunjungi Banten, Pastikan Penangan Pascabencana Tsunami Berjalan Baik  Pagi ini, Senin 24 Desember 2018, Presiden Joko Widodo bertolak ke Provinsi Banten untuk meninjau penanganan pascabencana tsunami... https://www.facebook.com/265134686905181/posts/2038934219525210/ …",True,2018-12-23 20:12:00,23,Dec,2018,8:12 PM
BNPB_Indonesia,"Evakuasi Korban Tsunami Dilanjutkan: 281 Meninggal, 1.016 Luka-Luka Dan 57 Hilang  Penanganan darurat terus dilakukan di daerah yang terdampak tsunami di Selat Sunda. Prioritas penanganan darurat saat ini adalah... https://www.facebook.com/265134686905181/posts/2038828039535828/ …",True,2018-12-23 18:13:00,23,Dec,2018,6:13 PM
BNPB_Indonesia,"Korban Tsunami di Selat Sunda Terus Bertambah: 222 Orang Meninggal Dunia, 843 Orang Luka-Luka dan 28 Orang Hilang  Jumlah korban dan kerusakan akibat tsunami yang menerjang wilayah pantai di Selat Sunda terus... https://www.facebook.com/265134686905181/posts/2037918566293442/ …",True,2018-12-23 03:01:00,23,Dec,2018,3:01 AM
BNPB_Indonesia,"Update dampak tsunami di Selat Sunda per 23/12/2018 pukul 10.00 WIB. Oleh Kepala Pusat Data Informasi dan Humas BNPB, Sutopo Purwo Nugroho. https://www.facebook.com/HumasBNPB/videos/508397682986551/ …",True,2018-12-22 21:36:00,22,Dec,2018,9:36 PM
BNPB_Indonesia,"Update Dampak Tsunami Selat Sunda: 43 Meninggal Dunia, 584 Orang Luka-Luka dan 2 Orang Hilang  Dampak tsunami yang menerjang pantai di Selat Sunda, khususya di daerah Pandenglang, Lampung Selatan dan Serang... https://www.facebook.com/265134686905181/posts/2037425479676084/ …",True,2018-12-22 18:11:00,22,Dec,2018,6:11 PM
BNPB_Indonesia,"Benar, Tsunami Menerjang Pantai di Selat Sunda  BMKG telah menyampaikan secara resmi bahwa tsunami telah terjadi dan menerjang beberapa wilayah pantai di Selat Sunda, diantaranya di pantai di Kabupaten... https://www.facebook.com/265134686905181/posts/2037320443019921/ …",True,2018-12-22 16:01:00,22,Dec,2018,4:01 PM
BNPB_Indonesia,"Korban Tsunami Terus Bertambah, 20 Meninggal Dunia, 165 Luka-Luka dan 2 Hilang  Dampak dari tsunami yang menerjang pantai di sekitar Selat Sunda, khususnya di Kabupaten Pandenglang, Lampung Selatan dan Serang... https://www.facebook.com/265134686905181/posts/2037311913020774/ …",True,2018-12-22 15:50:00,22,Dec,2018,3:50 PM
BNPB_Indonesia,"Dampak Gelombang Tinggi, 3 Tewas dan 21 Orang Luka-Luka  Penanganan darurat dampak gelombang tinggi yang menerjang pantai Anyer di Kabupaten Pandeglang dan Lampung Selatan terus dilakukan.... https://www.facebook.com/story.php?story_fbid=2036992766386022&id=265134686905181 …",False,2018-12-22 10:31:00,22,Dec,2018,10:31 AM
BNPB_Indonesia,"Tidak Ada Tsunami di Anyer dan Lampung Selatan, Hanya Gelombang Pasang  Masyarakat di sekitar Pantai Anyer dan Lampung Selatan dikagetkan dengan adanya air laut naik yang menerjang bangunan di sekitar pantai pada... https://www.facebook.com/HumasBNPB/videos/716557248745021/ …",True,2018-12-22 08:58:00,22,Dec,2018,8:58 AM
BNPB_Indonesia,"My week on Twitter : 474 Mentions, 3.39M Mention Reach, 161 Likes, 78 Retweets, 7.83M Retweet Reach. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/3QspUBiOqP",False,2018-12-22 05:02:00,22,Dec,2018,5:02 AM
BNPB_Indonesia,"Our biggest fans this week: @TMCPoldaMetro, @padangekspres, @Pusdalops_diy. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/3SbQ4YnCMp",False,2018-12-21 18:02:00,21,Dec,2018,6:02 PM
BNPB_Indonesia,Kick Off Program Hari Kesiapsiagaan Bencana: http://youtu.be/YQr2eYB76dQ?a  via @YouTube,False,2018-12-20 19:51:00,20,Dec,2018,7:51 PM
BNPB_Indonesia,"#SahabatTangguh, dalam rangka Hari Ibu yang diperingati secara Nasional tanggal 22 Desember 2018, Deputi bidang Pencegahan dan Kesiapsiagaan BNPB akan melaksanakan kick off program Hari Kesiapsiagaan Bencana dengan tema ""Peran Ibu... https://www.youtube.com/user/BNPBIndonesia ….",False,2018-12-20 18:49:00,20,Dec,2018,6:49 PM
BNPB_Indonesia,"Halo #SahabatTangguh yuk simak video dari bepe tentang Tanggap Tangkas Tangguh menghadapi Bencana. Jangan lupa like, comment dan share ya, terima kasih.   @bepe20 #SiapUntukSelamat #BudayaSadarBencana https://www.facebook.com/HumasBNPB/videos/2242467532634851/ …",False,2018-12-20 04:12:00,20,Dec,2018,4:12 AM
starjogja,Tas Siaga Bencana Tas yang dipersiapkan anggota keluarga untuk berjaga-jaga apabila terjadi suatu bencana/kondisi darurat lain. Persiapan untuk bertahan hidup saat bantuan belum datang & memudahkan kita saat evakuasi menuju tempat aman - @BNPB_Indonesiapic.twitter.com/cG1PpUQeOU,False,2018-12-19 21:00:00,19,Dec,2018,9:00 PM
starjogja,Tas Siaga Bencana Tas yang dipersiapkan anggota keluarga untuk berjaga-jaga apabila terjadi suatu bencana/kondisi darurat lain. Persiapan untuk bertahan hidup saat bantuan belum datang & memudahkan kita saat evakuasi menuju tempat aman - @BNPB_Indonesiapic.twitter.com/cG1PpUQeOU,False,2018-12-19 03:00:00,19,Dec,2018,3:00 AM
RadioDakta,#nowairing  Pemaparan Kepala @BNPB_Indonesia Willem Rampangilei ttg evaluasi penanganan bencana 2018 dan ancaman 2019pic.twitter.com/VSQglcMEio,False,2018-12-18 22:50:00,18,Dec,2018,10:50 PM
BNPB_Indonesia,KonPers Evaluasi Penanganan Bencana 2018 & Tantangan 2019: http://youtu.be/MMRUDqx2oco?a  via @YouTube,False,2018-12-18 23:09:00,18,Dec,2018,11:09 PM
KemensetnegRI,"#SobatKemensetneg, terlampir sambutan Presiden Republik Indonesia pada Peringatan Hari Bela Negara Tahun 2018 pada tanggal 19 Desember 2018  #HariBelaNegarapic.twitter.com/xV7BjlR9tC",False,2018-12-18 17:35:00,18,Dec,2018,5:35 PM
